Name,Year_CE,Year_AH,Type,Location,Latitude,Longitude,Context
Sariyyah of Hamza,623,1,Sariyyah,Al-Is,23.5,38.2,Caravan interception raid
Sariyyah of Ubaydah,623,1,Sariyyah,Batn Rabigh,22.8,39.0,Caravan interception raid
Ghazwa of Waddan (Abwa),623,2,Ghazwa,Al-Abwa,23.11,39.04,First expedition led by Muhammad
Ghazwa of Buwat,623,2,Ghazwa,Buwat,24.3,39.1,Economic pressure on Quraysh
Ghazwa of Safwan (Badr 1),623,2,Ghazwa,Badr/Safwan,23.77,38.78,Pursuit of Kurz bin Jabir
Ghazwa of Al-Ushayrah,623,2,Ghazwa,Yanbu/Ushayrah,23.9,38.3,Interception of Abu Sufyan's caravan
Sariyyah of Nakhla,624,2,Sariyyah,Nakhla,21.5,40.0,Intelligence gathering/Raid
Battle of Badr (Badr 2),624,2,Ghazwa,Badr,23.77,38.78,Major decisive victory for Muslims
Ghazwa of Bani Qaynuqa,624,2,Ghazwa,Medina,24.47,39.61,Siege of a Jewish tribe in Medina
Ghazwa of Sawiq,624,2,Ghazwa,Qarqarat al-Kudr,24.8,39.8,Chasing Abu Sufyan after Badr
Ghazwa of Dhu Amarr,624,3,Ghazwa,Najd/Dhu Amarr,25.1,40.2,Pre-emptive strike against Ghatfan tribe
Battle of Uhud,625,3,Ghazwa,Mount Uhud,24.5,39.61,Major defensive battle against Quraysh
Ghazwa of Hamra al-Asad,625,3,Ghazwa,Hamra al-Asad,24.3,39.5,Post-Uhud pursuit of Quraysh
Ghazwa of Bani Nadir,625,4,Ghazwa,Medina,24.47,39.61,Expulsion of Bani Nadir tribe
Ghazwa of Dhat al-Riqa,626,4,Ghazwa,Najd/Nakhl,25.5,41.0,Campaign against desert tribes
Ghazwa of Dumat al-Jandal,626,5,Ghazwa,Jawf/Dumat,29.8,39.8,First reach into Northern Arabian borderlands
Battle of the Trench (Khandaq),627,5,Ghazwa,Medina,24.47,39.61,Confederate siege of Medina
Ghazwa of Bani Qurayza,627,5,Ghazwa,Medina,24.47,39.61,Punishment for betrayal during Trench siege
Ghazwa of Bani Mustaliq,627,6,Ghazwa,Al-Muraysi,22.7,39.1,Pre-emptive strike against Bani Mustaliq
Treaty of Hudaybiya,628,6,Ghazwa,Al-Hudaybiya,21.4,39.6,Peace treaty with Mecca; pilgrimage attempt
Battle of Khaybar,628,7,Ghazwa,Khaybar,25.7,39.3,Conquest of Northern Jewish oases
Battle of Mu'tah,629,8,Sariyyah,Mu'tah (Jordan),31.1,35.7,Conflict with Byzantine vassals
Conquest of Mecca,630,8,Ghazwa,Mecca,21.42,39.82,Peaceful transition of power in Mecca
Battle of Hunayn,630,8,Ghazwa,Hunayn Valley,21.3,40.2,Consolidation of power against Hawazin tribe
Siege of Ta'if,630,8,Ghazwa,Ta'if,21.27,40.41,Pursuit of Thaqif tribe forces
Expedition of Tabuk,630,9,Ghazwa,Tabuk,28.38,36.56,Major mobilization against Byzantine threat
Sariyyah of Khalid (Yemen),631,10,Sariyyah,Najran/Yemen,17.49,44.12,Diplomatic/Military mission to the South
