"name","essround","edition","proddate","idno","cntry","dweight","pspwght","pweight","anweight","happy","rlgblg","rlgdnm","rlgblge","rlgdnme","rlgdgr","rlgatnd","pray","gndr","prob","stratum","psu"
"ESS11e04_1",11,"4.1","12.01.2026",50014,"AT",1.1851145,0.39289063,0.33091453,0.13001321,8,1,1,6,66,5,6,5,1,0.0005786479,107,317
"ESS11e04_1",11,"4.1","12.01.2026",50030,"AT",0.6098981,0.32515332,0.33091453,0.107597955,9,2,66,2,66,0,7,6,2,0.0011243912,69,128
"ESS11e04_1",11,"4.1","12.01.2026",50057,"AT",1.3923296,4.0000234,0.33091453,1.3236659,9,2,66,1,1,8,5,3,2,0.00049253,18,418
"ESS11e04_1",11,"4.1","12.01.2026",50106,"AT",0.5560615,0.17622764,0.33091453,0.058316287,7,1,3,6,66,6,6,3,2,0.0012332522,101,295
"ESS11e04_1",11,"4.1","12.01.2026",50145,"AT",0.7227953,1.0609399,0.33091453,0.35108042,9,1,1,6,66,1,7,7,1,0.0009487666,115,344
"ESS11e04_1",11,"4.1","12.01.2026",50158,"AT",0.9926053,1.3928125,0.33091453,0.4609019,8,1,1,6,66,3,5,1,2,0.0006908728,7,373
"ESS11e04_1",11,"4.1","12.01.2026",50211,"AT",0.5403178,0.5771863,0.33091453,0.19099933,7,1,1,6,66,6,5,2,2,0.0012691865,58,86
"ESS11e04_1",11,"4.1","12.01.2026",50212,"AT",0.81462234,0.6194855,0.33091453,0.20499675,8,1,1,6,66,6,5,4,2,0.0008418184,38,3
"ESS11e04_1",11,"4.1","12.01.2026",50213,"AT",1.3649563,0.69363487,0.33091453,0.22953385,8,1,1,6,66,5,5,1,2,0.0005024074,62,108
"ESS11e04_1",11,"4.1","12.01.2026",50235,"AT",0.872949,0.49226722,0.33091453,0.16289838,7,1,1,6,66,10,3,1,2,0.0007855717,105,314
"ESS11e04_1",11,"4.1","12.01.2026",50236,"AT",0.6989865,0.35520682,0.33091453,0.117543094,8,1,1,6,66,6,5,2,2,0.0009810835,26,622
"ESS11e04_1",11,"4.1","12.01.2026",50238,"AT",0.8320375,0.31393012,0.33091453,0.10388404,5,1,6,6,66,8,6,1,1,0.0008241984,94,242
"ESS11e04_1",11,"4.1","12.01.2026",50240,"AT",0.87345386,0.27681613,0.33091453,0.09160248,7,1,1,6,66,9,5,4,2,0.0007851177,100,270
"ESS11e04_1",11,"4.1","12.01.2026",50248,"AT",0.9025512,0.50895995,0.33091453,0.16842224,8,1,1,6,66,8,3,1,2,0.00075980625,98,255
"ESS11e04_1",11,"4.1","12.01.2026",50270,"AT",0.58181804,4.0006237,0.33091453,1.3238645,5,2,66,2,66,0,7,7,2,0.0011786572,5,368
"ESS11e04_1",11,"4.1","12.01.2026",50281,"AT",0.69352174,0.4163573,0.33091453,0.13777868,9,1,1,6,66,7,7,1,2,0.000988814,35,783
"ESS11e04_1",11,"4.1","12.01.2026",50310,"AT",2.3245115,0.87704426,0.33091453,0.2902267,10,1,2,6,66,4,5,6,1,0.00029501427,75,165
"ESS11e04_1",11,"4.1","12.01.2026",50311,"AT",0.9926053,1.3928125,0.33091453,0.4609019,8,1,1,6,66,4,6,2,2,0.0006908728,7,373
"ESS11e04_1",11,"4.1","12.01.2026",50324,"AT",1.0702981,1.6595315,0.33091453,0.5491631,8,2,66,1,1,0,7,7,1,0.00064072246,56,73
"ESS11e04_1",11,"4.1","12.01.2026",50339,"AT",0.5560615,1.2854693,0.33091453,0.42538047,5,2,66,2,66,3,6,7,1,0.0012332522,101,283
"ESS11e04_1",11,"4.1","12.01.2026",50341,"AT",0.48294935,0.67766964,0.33091453,0.22425073,8,1,1,6,66,9,5,1,2,0.0014199503,17,414
"ESS11e04_1",11,"4.1","12.01.2026",50349,"AT",0.9926053,1.4569765,0.33091453,0.4821347,7,1,1,6,66,8,4,1,1,0.0006908728,7,373
"ESS11e04_1",11,"4.1","12.01.2026",50355,"AT",0.7366085,1.142137,0.33091453,0.37794974,5,2,66,2,66,0,7,7,1,0.0009309749,21,610
"ESS11e04_1",11,"4.1","12.01.2026",50358,"AT",1.9501987,3.2578714,0.33091453,1.078077,8,2,66,1,1,1,6,6,1,0.00035163807,23,429
"ESS11e04_1",11,"4.1","12.01.2026",50363,"AT",1.9560468,0.99401224,0.33091453,0.3289331,8,1,1,6,66,6,4,4,2,0.00035058672,45,31
"ESS11e04_1",11,"4.1","12.01.2026",50367,"AT",0.6098981,0.19328976,0.33091453,0.063962385,8,2,66,1,99,10,6,1,2,0.0011243912,69,132
"ESS11e04_1",11,"4.1","12.01.2026",50375,"AT",1.4462273,1.7788271,0.33091453,0.58863974,8,1,1,6,66,5,5,2,2,0.00047417445,41,19
"ESS11e04_1",11,"4.1","12.01.2026",50380,"AT",1.298475,0.3483306,0.33091453,0.11526765,8,1,1,6,66,5,5,5,2,0.00052813033,99,266
"ESS11e04_1",11,"4.1","12.01.2026",50412,"AT",1.329427,0.35663366,0.33091453,0.11801526,7,1,1,6,66,4,5,5,2,0.0005158343,77,177
"ESS11e04_1",11,"4.1","12.01.2026",50423,"AT",0.4598905,0.5081531,0.33091453,0.16815524,8,2,66,1,1,5,6,4,2,0.0014911463,67,121
"ESS11e04_1",11,"4.1","12.01.2026",50427,"AT",1.4547197,1.7278345,0.33091453,0.57176554,8,1,1,6,66,3,5,5,2,0.00047140633,113,339
